,Course Name,University,Aptitude Score,Previous Score,Extracurricular activity,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
40,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,80.0,62.0,Yes,4.9,80.0,59.0,89.0
41,The Science of Health Care Delivery,Arizona State University,71.0,71.0,Yes,4.7,74.0,61.0,61.0
42,ELL Success in the Content Classroom: Capstone Project,Arizona State University,90.0,68.0,Yes,4.6,85.0,93.0,88.0
43,Teach English Now! Teaching Language Online,Arizona State University,78.0,67.0,No,4.6,88.0,59.0,67.0
44,"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,79.0,66.0,No,4.9,83.0,77.0,62.0
45,"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,59.0,72.0,Yes,4.9,76.0,77.0,58.0
46,Business English: Marketing and Sales,Arizona State University,94.0,72.0,Yes,4.7,76.0,60.0,94.0
47,Teach English Now! Theories of Second Language Acquisition,Arizona State University,90.0,66.0,Yes,4.9,74.0,60.0,69.0
48,Teach English Now! Theories of Second Language Acquisition,Arizona State University,78.0,69.0,Yes,4.9,79.0,73.0,71.0
49,Teach English Now! Lesson Design and Assessment,Arizona State University,86.0,71.0,Yes,4.9,70.0,60.0,61.0
50,Business English: Management and Leadership,Arizona State University,74.0,66.0,Yes,4.8,70.0,57.0,94.0
51,Teach English Now! Lesson Design and Assessment,Arizona State University,63.0,68.0,Yes,4.9,73.0,77.0,57.0
52,Business English: Finance and Economics,Arizona State University,88.0,75.0,Yes,4.7,62.0,58.0,91.0
53,Teach English Now! Technology Enriched Teaching,Arizona State University,99.0,68.0,No,4.8,59.0,73.0,62.0
54,Teach English Now! Technology Enriched Teaching,Arizona State University,54.0,67.0,Yes,4.8,89.0,59.0,59.0
55,Data in Database,Arizona State University,64.0,61.0,Yes,3.7,63.0,79.0,91.0
56,Blockchain Opportunities Beyond Crypto Assets,Association of International Certified Professional Accountants,77.0,66.0,No,4.5,77.0,86.0,95.0
57,Making the Case for Robotic Process Automation,Association of International Certified Professional Accountants,53.0,65.0,Yes,4.2,57.0,79.0,97.0
58,"Understanding, Using, and Securing Crypto and Digital Assets",Association of International Certified Professional Accountants,62.0,70.0,Yes,4.5,78.0,56.0,97.0
59,Introduction to Blockchain: Using and Securing Cryptocurrencies,Association of International Certified Professional Accountants,77.0,68.0,Yes,4.5,56.0,93.0,89.0
60,Blockchain Evolution and Technology Concepts,Association of International Certified Professional Accountants,78.0,67.0,No,4.5,80.0,61.0,60.0
61,Introduction to Blockchain: Evolution and Technology Concepts,Association of International Certified Professional Accountants,92.0,68.0,No,4.5,70.0,72.0,90.0
62,"Introduction to Blockchain: Benefits, Values and Opportunities",Association of International Certified Professional Accountants,59.0,66.0,Yes,4.7,76.0,91.0,75.0
63,Agile with Atlassian Jira,Atlassian,90.0,72.0,Yes,4.6,74.0,89.0,60.0
64,Version Control with Git,Atlassian,64.0,68.0,Yes,4.7,71.0,57.0,70.0
65,"Introduction to CAD, CAM, and Practical CNC Machining",Autodesk,97.0,71.0,No,4.8,60.0,81.0,58.0
66,Engineering Design Process with Autodesk Fusion 360,Autodesk,96.0,61.0,Yes,4.7,79.0,91.0,89.0
67,Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Autodesk,74.0,67.0,Yes,4.6,81.0,80.0,72.0
68,Manufacturing Process with Autodesk Fusion 360,Autodesk,95.0,66.0,Yes,4.5,63.0,55.0,93.0
69,Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Autodesk,56.0,63.0,No,4.8,73.0,79.0,74.0
70,CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360,Autodesk,84.0,68.0,Yes,4.8,61.0,87.0,58.0
71,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,Autodesk,83.0,64.0,Yes,4.8,55.0,57.0,59.0
72,Generative Design for Part Consolidation,Autodesk,57.0,65.0,Yes,5.0,82.0,76.0,96.0
73,Generative Design for Performance and Weight Reduction,Autodesk,81.0,66.0,No,4.7,73.0,62.0,74.0
74,Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,Autodesk,96.0,68.0,Yes,4.8,77.0,57.0,61.0
75,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,99.0,70.0,Yes,4.7,62.0,60.0,67.0
76,Autodesk Fusion 360 Integrated CAD/CAM/CAE,Autodesk,78.0,70.0,Yes,4.7,63.0,58.0,58.0
77,Creating Toolpaths for a CNC Lathe,Autodesk,85.0,65.0,No,4.8,70.0,81.0,61.0
78,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,97.0,72.0,Yes,4.7,62.0,77.0,69.0
79,Generative Design for Industrial Applications,Autodesk,75.0,69.0,Yes,4.8,78.0,56.0,96.0
80,3-Axis Machining with Autodesk Fusion 360,Autodesk,62.0,66.0,No,4.9,79.0,71.0,75.0
81,Multi-Axis CNC Toolpaths,Autodesk,94.0,69.0,Yes,4.9,62.0,72.0,58.0
82,Autodesk Certified Professional: Revit for Structural Design Exam Prep,Autodesk,91.0,69.0,Yes,4.7,78.0,59.0,75.0
83,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,Autodesk,74.0,69.0,Yes,4.8,88.0,91.0,60.0
84,3D Model Creation with Autodesk Fusion 360,Autodesk,58.0,66.0,Yes,4.7,91.0,63.0,74.0
85,Intro to Digital Manufacturing with Autodesk Fusion 360,Autodesk,95.0,73.0,Yes,4.6,87.0,55.0,61.0
86,Generative Design for Additive Manufacturing,Autodesk,66.0,67.0,Yes,4.8,92.0,59.0,67.0
87,RPA Lifecycle: Development and Testing,Automation Anywhere,81.0,66.0,Yes,4.6,80.0,57.0,93.0
88,RPA Lifecycle: Deployment and Maintenance,Automation Anywhere,57.0,66.0,Yes,4.6,93.0,63.0,88.0
89,Cognitive Solutions and RPA Analytics,Automation Anywhere,74.0,68.0,No,5.0,58.0,56.0,57.0
90,"RPA Lifecycle: Introduction, Discovery and Design",Automation Anywhere,64.0,68.0,Yes,4.6,75.0,57.0,61.0
91,"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Berklee College of Music,92.0,68.0,Yes,4.8,77.0,59.0,92.0
92,Introduction to Ableton Live,Berklee College of Music,79.0,74.0,No,4.8,84.0,60.0,92.0
93,Introduction to Ableton Live,Berklee College of Music,82.0,62.0,No,4.8,74.0,77.0,89.0
94,The Art of Music Production,Berklee College of Music,70.0,66.0,Yes,4.8,77.0,57.0,91.0
95,The Art of Music Production,Berklee College of Music,73.0,70.0,No,4.8,56.0,80.0,88.0
96,The Art of Music Production,Berklee College of Music,94.0,69.0,No,4.8,62.0,58.0,89.0
97,The Art of Music Production,Berklee College of Music,65.0,65.0,Yes,4.8,55.0,55.0,88.0
98,Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,53.0,64.0,No,4.3,75.0,89.0,78.0
99,Developing Your Musicianship: Final Project,Berklee College of Music,65.0,66.0,No,4.8,57.0,71.0,93.0
100,Guitar Performance Techniques,Berklee College of Music,68.0,63.0,No,4.1,63.0,79.0,72.0
101,Songwriting: Writing the Lyrics,Berklee College of Music,96.0,66.0,Yes,4.8,74.0,73.0,68.0
102,A tecnologia da produï¿½ï¿½o musical,Berklee College of Music,87.0,71.0,No,4.8,60.0,72.0,90.0
103,Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,92.0,66.0,No,4.3,80.0,75.0,81.0
104,Songwriting: Writing the Lyrics,Berklee College of Music,75.0,69.0,No,4.8,78.0,77.0,72.0
105,Guitar Chord Voicings: Playing Up The Neck,Berklee College of Music,67.0,66.0,Yes,4.9,93.0,84.0,73.0
106,Guitar for Beginners,Berklee College of Music,52.0,71.0,No,4.7,79.0,78.0,75.0
107,Guitar for Beginners,Berklee College of Music,60.0,66.0,Yes,4.7,78.0,57.0,69.0
108,Electronic Music Performance Techniques,Berklee College of Music,95.0,62.0,Yes,4.1,87.0,61.0,57.0
109,Arranging for Songwriters,Berklee College of Music,79.0,75.0,Yes,4.4,55.0,70.0,60.0
110,Teaching Popular Music in the Classroom,Berklee College of Music,99.0,68.0,No,4.7,77.0,62.0,58.0
111,Singing Popular Music,Berklee College of Music,99.0,67.0,Yes,4.2,73.0,57.0,58.0
112,Pro Tools Basics,Berklee College of Music,81.0,61.0,No,4.6,72.0,70.0,72.0
113,The Art of Vocal Production,Berklee College of Music,61.0,61.0,No,4.6,72.0,75.0,69.0
114,The Technology of Music Production,Berklee College of Music,91.0,65.0,Yes,4.7,78.0,58.0,75.0
115,The Technology of Music Production,Berklee College of Music,59.0,68.0,No,4.7,78.0,57.0,75.0
116,Pro Tools Basics,Berklee College of Music,68.0,70.0,Yes,4.6,79.0,72.0,67.0
117,Pro Tools Basics,Berklee College of Music,57.0,63.0,No,4.6,71.0,70.0,67.0
118,Music Production Capstone,Berklee College of Music,68.0,63.0,Yes,4.8,56.0,80.0,70.0
119,Jazz Improvisation,Berklee College of Music,65.0,74.0,Yes,4.8,73.0,62.0,91.0
120,Guitar Scales and Chord Progressions,Berklee College of Music,52.0,61.0,Yes,4.7,59.0,93.0,97.0
121,Music Business Foundations,Berklee College of Music,95.0,82.0,Yes,4.8,56.0,71.0,57.0
122,Music for Wellness,Berklee College of Music,71.0,70.0,No,4.6,71.0,75.0,62.0
123,Music Business Foundations,Berklee College of Music,50.0,64.0,Yes,4.8,62.0,78.0,62.0
124,Creativity And Entrepreneurship,Berklee College of Music,81.0,63.0,Yes,4.5,71.0,56.0,62.0
125,Creating Sounds for Electronic Music,Berklee College of Music,88.0,68.0,No,4.7,70.0,63.0,95.0
126,Copyright Law in the Music Business,Berklee College of Music,58.0,65.0,Yes,4.7,62.0,72.0,73.0
127,Copyright Law in the Music Business,Berklee College of Music,62.0,64.0,Yes,4.7,63.0,59.0,75.0
128,Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,95.0,66.0,Yes,4.8,70.0,70.0,62.0
129,World Design for Video Games,California Institute of the Arts,64.0,68.0,Yes,4.3,60.0,81.0,94.0
130,Introduction to Game Design,California Institute of the Arts,87.0,71.0,Yes,4.7,58.0,57.0,96.0
131,Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,95.0,69.0,No,4.6,71.0,56.0,72.0
132,Fundamentals of Graphic Design,California Institute of the Arts,99.0,72.0,Yes,4.7,70.0,58.0,82.0
133,UX Design Fundamentals,California Institute of the Arts,88.0,67.0,Yes,4.7,63.0,57.0,62.0
134,Introduction to Typography,California Institute of the Arts,85.0,63.0,Yes,4.8,61.0,61.0,58.0
135,Ideas from the History of Graphic Design,California Institute of the Arts,79.0,72.0,No,4.6,73.0,78.0,74.0
136,Game Design Document: Define the Art & Concepts,California Institute of the Arts,74.0,68.0,No,4.6,80.0,62.0,91.0
137,Web Design: Strategy and Information Architecture,California Institute of the Arts,91.0,70.0,Yes,4.8,90.0,77.0,93.0
138,Sharpened Visions: A Poetry Workshop,California Institute of the Arts,56.0,64.0,No,4.7,72.0,57.0,73.0
139,Visual Elements of User Interface Design,California Institute of the Arts,59.0,69.0,No,4.5,78.0,76.0,61.0
140,Story and Narrative Development for Video Games,California Institute of the Arts,96.0,69.0,No,4.6,76.0,79.0,97.0
141,The Language of Design: Form and Meaning,California Institute of the Arts,84.0,69.0,No,4.6,63.0,59.0,62.0
142,Character Design for Video Games,California Institute of the Arts,71.0,72.0,No,4.6,58.0,84.0,90.0
143,Introduction to Imagemaking,California Institute of the Arts,69.0,72.0,Yes,4.4,78.0,59.0,75.0
144,Web Design: Wireframes to Prototypes,California Institute of the Arts,54.0,62.0,Yes,4.8,79.0,61.0,93.0
145,Brand New Brand,California Institute of the Arts,91.0,68.0,No,4.9,72.0,90.0,61.0
146,Getting started in cryo-EM,Caltech,67.0,69.0,Yes,4.9,76.0,91.0,53.0
147,The Science of the Solar System,Caltech,95.0,68.0,Yes,4.8,74.0,59.0,72.0
148,The Evolving Universe,Caltech,75.0,64.0,No,4.6,90.0,60.0,71.0
149,Statistical Thermodynamics: Molecules to Machines,Carnegie Mellon University,95.0,65.0,No,3.6,62.0,57.0,96.0
150,Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Case Western Reserve University,61.0,65.0,No,4.4,73.0,61.0,90.0
151,Leading Positive Change through Appreciative Inquiry,Case Western Reserve University,65.0,65.0,Yes,4.8,85.0,72.0,57.0
152,Designing Your Personal Weight Loss Plan,Case Western Reserve University,57.0,65.0,Yes,4.0,76.0,76.0,70.0
153,Women in Leadership: Inspiring Positive Change,Case Western Reserve University,84.0,66.0,Yes,4.7,93.0,70.0,84.0
154,Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,63.0,70.0,No,4.7,91.0,55.0,79.0
155,"Be a Leader, Develop a Leader",Case Western Reserve University,93.0,68.0,No,4.7,74.0,78.0,88.0
156,Becoming a Sports Agent,Case Western Reserve University,54.0,65.0,Yes,4.7,63.0,70.0,96.0
157,"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,82.0,71.0,No,4.7,88.0,87.0,96.0
158,Introduction to International Criminal Law,Case Western Reserve University,73.0,69.0,No,4.8,72.0,61.0,74.0
159,Take the Lead on Healthcare Quality Improvement,Case Western Reserve University,52.0,62.0,Yes,4.2,77.0,77.0,92.0
160,Promote the Ethical Use of Data-Driven Technologies,CertNexus,67.0,69.0,No,5.0,74.0,77.0,88.0
161,Check Point Jump Start: Network Security,Check Point Software Technologies Ltd.,61.0,65.0,No,4.9,80.0,78.0,58.0
162,Check Point Jump Start: SMB Network Security,Check Point Software Technologies Ltd.,69.0,67.0,Yes,4.5,57.0,78.0,73.0
163,Foundations for Big Data Analysis with SQL,Cloudera,58.0,62.0,No,4.8,79.0,76.0,71.0
164,Analyzing Big Data with SQL,Cloudera,69.0,61.0,Yes,4.9,78.0,63.0,97.0
165,Poverty & Population: How Demographics Shape Policy,Columbia University,51.0,64.0,No,4.9,56.0,57.0,92.0
166,Construction Finance,Columbia University,53.0,65.0,No,4.7,62.0,58.0,61.0
167,Construction Project Management,Columbia University,86.0,68.0,No,4.8,90.0,85.0,59.0
168,Construction Cost Estimating and Cost Control,Columbia University,56.0,64.0,No,4.7,61.0,74.0,59.0
169,Financial Engineering and Risk Management Part I,Columbia University,56.0,66.0,Yes,4.4,73.0,58.0,72.0
170,"Social Services for Families, Seniors and Those with Disabilities",Columbia University,63.0,61.0,No,4.8,57.0,79.0,70.0
171,US Social Services Compared,Columbia University,59.0,68.0,Yes,4.6,77.0,91.0,90.0
172,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",Columbia University,66.0,65.0,Yes,4.7,87.0,89.0,61.0
173,The Age of Sustainable Development,Columbia University,67.0,65.0,No,4.8,82.0,74.0,54.0
174,Economics of Money and Banking,Columbia University,81.0,68.0,Yes,4.8,79.0,71.0,75.0
175,Causal Inference 2,Columbia University,62.0,65.0,No,3.6,74.0,87.0,74.0
176,Construction Scheduling,Columbia University,60.0,69.0,No,4.7,60.0,57.0,57.0
177,Financial Engineering and Risk Management Part II,Columbia University,85.0,67.0,Yes,4.7,70.0,56.0,97.0
178,Causal Inference,Columbia University,76.0,71.0,Yes,2.9,55.0,77.0,73.0
179,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Clinical Perspective)",Columbia University,84.0,68.0,Yes,4.6,62.0,75.0,57.0
180,MOS Transistors,Columbia University,84.0,70.0,No,4.6,86.0,73.0,90.0
181,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,70.0,67.0,Yes,4.5,72.0,78.0,61.0
182,"Health, Housing, and Educational Services",Columbia University,90.0,86.0,Yes,4.9,70.0,58.0,70.0
183,US Social Services: Where did they come from?,Columbia University,51.0,63.0,No,4.9,79.0,58.0,69.0
184,Foundations of Teaching for Learning: Introduction,Commonwealth Education Trust,71.0,68.0,Yes,4.5,70.0,55.0,71.0
185,Foundations of Teaching for Learning: Developing Relationships,Commonwealth Education Trust,69.0,64.0,No,4.8,79.0,56.0,72.0
186,Writing for Young Readers: Opening the Treasure Chest,Commonwealth Education Trust,81.0,72.0,No,4.6,71.0,62.0,91.0
187,Foundations of Teaching for Learning Capstone: The Reflective Practitioner,Commonwealth Education Trust,78.0,75.0,Yes,4.0,82.0,75.0,51.0
188,Foundations of Teaching for Learning: Being a Teacher,Commonwealth Education Trust,82.0,65.0,No,4.6,76.0,57.0,59.0
189,Foundations of Teaching for Learning: Curriculum,Commonwealth Education Trust,72.0,67.0,Yes,4.5,75.0,63.0,71.0
190,Foundations of Teaching for Learning: Learners and Learning,Commonwealth Education Trust,91.0,70.0,No,4.5,71.0,74.0,72.0
191,Foundations of Teaching for Learning: Planning for Teaching and Learning,Commonwealth Education Trust,89.0,64.0,Yes,4.8,76.0,78.0,69.0
192,Foundations of Teaching for Learning: Being a Professional,Commonwealth Education Trust,83.0,67.0,Yes,4.7,57.0,59.0,72.0
193,Foundations of Teaching for Learning: Introduction to Student Assessment,Commonwealth Education Trust,52.0,68.0,Yes,4.7,58.0,61.0,70.0
194,Blockchain: Foundations and Use Cases,ConsenSys Academy,95.0,69.0,Yes,4.6,71.0,82.0,71.0
195,Social Business Model and Planning for Social Innovation,Copenhagen Business School,66.0,73.0,No,4.6,73.0,86.0,93.0
196,Innovation Strategy: Developing Your Fintech strategy,Copenhagen Business School,93.0,75.0,Yes,4.5,79.0,58.0,94.0
197,Digital Transformation of Financial Services - Capstone Project,Copenhagen Business School,67.0,72.0,No,4.4,81.0,62.0,91.0
198,FinTech and the Transformation in Financial Services,Copenhagen Business School,62.0,63.0,Yes,4.1,80.0,70.0,73.0
199,Identifying Social Entrepreneurship Opportunities,Copenhagen Business School,61.0,68.0,Yes,4.7,77.0,79.0,89.0
200,Strategic Management,Copenhagen Business School,71.0,63.0,No,4.7,84.0,55.0,58.0
201,Sustainable Fashion,Copenhagen Business School,76.0,72.0,No,4.8,71.0,90.0,58.0
202,Sustainable Vikings: Sustainability & Corporate Social Responsibility in Scandinavia,Copenhagen Business School,94.0,66.0,Yes,4.8,82.0,84.0,72.0
203,The Neuromarketing Toolbox,Copenhagen Business School,98.0,67.0,No,4.8,58.0,78.0,60.0
204,Unleashing the Impact of your Social Enterprise,Copenhagen Business School,89.0,99.0,Yes,4.5,73.0,73.0,95.0
205,Strategy Implementation,Copenhagen Business School,87.0,66.0,No,4.6,88.0,77.0,69.0
206,Strategy Formulation,Copenhagen Business School,52.0,64.0,Yes,4.5,90.0,62.0,61.0
207,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,76.0,62.0,Yes,4.7,61.0,80.0,62.0
208,Digital Competition in Financial Services,Copenhagen Business School,70.0,68.0,No,4.5,57.0,78.0,67.0
209,Strategic Management - Capstone Project,Copenhagen Business School,76.0,66.0,No,4.6,70.0,55.0,94.0
210,Leadership in 21st Century Organizations,Copenhagen Business School,64.0,70.0,Yes,4.7,76.0,87.0,57.0
211,1E Test: How Computers Work,Coursera,89.0,71.0,Yes,4.5,77.0,70.0,95.0
212,Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,59.0,61.0,No,4.8,58.0,73.0,58.0
213,Retrieve Data using Single-Table SQL Queries,Coursera Project Network,65.0,70.0,Yes,4.6,59.0,74.0,57.0
214,Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,89.0,71.0,Yes,4.7,93.0,79.0,61.0
215,Agile Projects: Developing Tasks with Taiga,Coursera Project Network,88.0,68.0,No,4.0,62.0,70.0,57.0
216,Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,74.0,65.0,Yes,4.5,93.0,59.0,59.0
217,How to Create Text Effects in GIMP,Coursera Project Network,89.0,66.0,No,4.7,56.0,74.0,58.0
218,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,94.0,71.0,Yes,5.0,57.0,86.0,91.0
219,Postman - Intro to APIs (without coding),Coursera Project Network,84.0,63.0,Yes,4.4,74.0,57.0,58.0
220,"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,56.0,67.0,No,3.7,60.0,81.0,60.0
221,Analyzing Market Attractiveness Using Creately,Coursera Project Network,72.0,68.0,Yes,4.7,77.0,59.0,60.0
222,Change Leadership: Developing Force Field Analysis in Miro,Coursera Project Network,96.0,70.0,No,5.0,91.0,90.0,95.0
223,Python Tricks and Hacks for Productivity,Coursera Project Network,88.0,68.0,Yes,4.1,86.0,56.0,95.0
224,Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera Project Network,95.0,65.0,No,5.0,56.0,63.0,88.0
225,Mastering SQL Joins,Coursera Project Network,93.0,70.0,No,4.0,56.0,62.0,89.0
226,Create a Database with the Modeling Tool in MySQL Workbench,Coursera Project Network,94.0,69.0,Yes,4.7,74.0,80.0,67.0
227,Build Random Forests in R with Azure ML Studio,Coursera Project Network,54.0,64.0,No,4.7,74.0,76.0,60.0
228,Control physics with C# in Unity,Coursera Project Network,75.0,63.0,Yes,4.8,77.0,76.0,62.0
229,Create Relational Database Tables Using SQLiteStudio,Coursera Project Network,92.0,71.0,Yes,4.7,59.0,93.0,62.0
230,Product Design: Designing a modern table lamp using SketchUp,Coursera Project Network,73.0,66.0,Yes,4.7,70.0,57.0,62.0
231,Build a Table Layout App in Android Studio,Coursera Project Network,59.0,76.0,No,4.5,86.0,85.0,60.0
232,Improving Math Engagement with Prodigy,Coursera Project Network,85.0,79.0,Yes,4.8,84.0,74.0,60.0
233,Exception Handling in Python,Coursera Project Network,80.0,73.0,Yes,4.7,78.0,93.0,60.0
234,Improving Classroom Management with Class Dojo,Coursera Project Network,81.0,73.0,Yes,4.9,73.0,81.0,61.0
235,Create a Virtual Classroom using Google Slides,Coursera Project Network,55.0,67.0,Yes,4.6,57.0,81.0,74.0
236,Implementing SOLID Principles in C# with .NET Core,Coursera Project Network,75.0,65.0,No,4.5,73.0,58.0,71.0
237,Wireshark for Basic Network Security Analysis,Coursera Project Network,89.0,65.0,No,4.4,74.0,88.0,59.0
238,Tracking Student Growth using Google Slides,Coursera Project Network,70.0,64.0,No,5.0,86.0,56.0,60.0
239,Analyze Website Visitors with Google Analytics Segments,Coursera Project Network,82.0,69.0,Yes,4.8,82.0,76.0,59.0
240,Tell the Data Story with Survey Graphics in Google Slides,Coursera Project Network,51.0,67.0,Yes,4.5,80.0,62.0,96.0
241,User Experience Responsive Hero in XD for Beginners,Coursera Project Network,74.0,68.0,Yes,4.2,87.0,75.0,59.0
242,Portfolio Optimization using Markowitz Model,Coursera Project Network,56.0,69.0,Yes,4.5,75.0,90.0,60.0
243,Complex Retrieval Queries in MySQL Workbench,Coursera Project Network,91.0,72.0,Yes,4.5,80.0,93.0,58.0
244,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Coursera Project Network,88.0,66.0,Yes,5.0,73.0,59.0,58.0
245,Build a Twitter Clone Backend,Coursera Project Network,89.0,74.0,Yes,4.2,78.0,74.0,59.0
246,Create a Buy Signal using RSI in R with the Quantmod Package,Coursera Project Network,89.0,69.0,Yes,4.6,71.0,71.0,60.0
