Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
Teach English Now! Lesson Design and Assessment,Arizona State University,63,Medium,High School,68,Yes,Beginner,4.9,72.0,75.0,59.0
Business English: Finance and Economics,Arizona State University,88,Low,College,75,Yes,Advanced,4.7,55.0,62.0,90.0
Teach English Now! Technology Enriched Teaching,Arizona State University,99,Medium,College,68,No,Beginner,4.8,55.0,73.0,60.0
Teach English Now! Technology Enriched Teaching,Arizona State University,54,Low,Postgraduate,67,Yes,Beginner,4.8,90.0,62.0,57.0
Data in Database,Arizona State University,64,Medium,College,61,Yes,Advanced,3.7,57.0,77.0,93.0
Blockchain Opportunities Beyond Crypto Assets,Association of International Certified Professional Accountants,77,High,High School,66,No,Advanced,Not Calibrated,75.0,86.0,95.0
Making the Case for Robotic Process Automation,Association of International Certified Professional Accountants,53,Medium,College,65,Yes,Advanced,4.2,57.0,73.0,90.0
"Understanding, Using, and Securing Crypto and Digital Assets",Association of International Certified Professional Accountants,62,Low,High School,70,Yes,Advanced,Not Calibrated,73.0,57.0,96.0
Introduction to Blockchain: Using and Securing Cryptocurrencies,Association of International Certified Professional Accountants,77,High,College,68,Yes,Advanced,4.5,55.0,82.0,94.0
Blockchain Evolution and Technology Concepts,Association of International Certified Professional Accountants,78,Low,High School,67,No,Beginner,Not Calibrated,76.0,58.0,58.0
Introduction to Blockchain: Evolution and Technology Concepts,Association of International Certified Professional Accountants,92,Medium,High School,68,No,Advanced,4.5,71.0,74.0,89.0
"Introduction to Blockchain: Benefits, Values and Opportunities",Association of International Certified Professional Accountants,59,High,High School,66,Yes,Intermediate,4.7,78.0,92.0,69.0
Agile with Atlassian Jira,Atlassian,90,High,High School,72,Yes,Beginner,4.6,72.0,81.0,59.0
Version Control with Git,Atlassian,64,Low,High School,68,Yes,Intermediate,4.7,72.0,57.0,72.0
"Introduction to CAD, CAM, and Practical CNC Machining",Autodesk,97,High,College,71,No,Beginner,4.8,60.0,92.0,61.0
Engineering Design Process with Autodesk Fusion 360,Autodesk,96,High,High School,61,Yes,Advanced,4.7,70.0,83.0,88.0
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Autodesk,74,Medium,Postgraduate,67,Yes,Intermediate,4.6,87.0,77.0,68.0
Manufacturing Process with Autodesk Fusion 360,Autodesk,95,Low,College,66,Yes,Advanced,4.5,60.0,58.0,96.0
Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Autodesk,56,Medium,High School,63,No,Intermediate,4.8,75.0,74.0,69.0
CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360,Autodesk,84,High,College,68,Yes,Beginner,4.8,61.0,89.0,62.0
Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,Autodesk,83,Low,College,64,Yes,Beginner,4.8,57.0,59.0,62.0
Generative Design for Part Consolidation,Autodesk,57,Medium,Postgraduate,65,Yes,Advanced,5,93.0,80.0,95.0
Generative Design for Performance and Weight Reduction,Autodesk,81,Low,High School,66,No,Intermediate,4.7,72.0,63.0,72.0
Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,Autodesk,96,Low,High School,68,Yes,Beginner,4.8,74.0,59.0,59.0
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,99,Low,College,70,Yes,Intermediate,4.7,56.0,57.0,68.0
Autodesk Fusion 360 Integrated CAD/CAM/CAE,Autodesk,78,Low,College,70,Yes,Beginner,4.7,63.0,59.0,57.0
Creating Toolpaths for a CNC Lathe,Autodesk,85,High,High School,65,No,Beginner,4.8,76.0,81.0,58.0
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,97,Medium,College,72,Yes,Intermediate,4.7,57.0,76.0,67.0
Generative Design for Industrial Applications,Autodesk,75,Low,High School,69,Yes,Advanced,4.8,80.0,60.0,90.0
3-Axis Machining with Autodesk Fusion 360,Autodesk,62,Medium,High School,66,No,Intermediate,4.9,75.0,74.0,67.0
Multi-Axis CNC Toolpaths,Autodesk,94,Medium,College,69,Yes,Beginner,4.9,58.0,76.0,59.0
Autodesk Certified Professional: Revit for Structural Design Exam Prep,Autodesk,91,Low,High School,69,Yes,Intermediate,4.7,77.0,59.0,70.0
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,Autodesk,74,High,Postgraduate,69,Yes,Beginner,4.8,91.0,93.0,57.0
3D Model Creation with Autodesk Fusion 360,Autodesk,58,Low,Postgraduate,66,Yes,Intermediate,4.7,81.0,63.0,75.0
Intro to Digital Manufacturing with Autodesk Fusion 360,Autodesk,95,Low,Postgraduate,73,Yes,Beginner,4.6,91.0,60.0,62.0
Generative Design for Additive Manufacturing,Autodesk,66,Low,Postgraduate,67,Yes,Intermediate,4.8,82.0,60.0,67.0
RPA Lifecycle: Development and Testing,Automation Anywhere,81,Low,High School,66,Yes,Advanced,4.6,74.0,62.0,95.0
RPA Lifecycle: Deployment and Maintenance,Automation Anywhere,57,Low,Postgraduate,66,Yes,Advanced,4.6,82.0,59.0,92.0
Cognitive Solutions and RPA Analytics,Automation Anywhere,74,Low,College,68,No,Beginner,5,57.0,59.0,61.0
"RPA Lifecycle: Introduction, Discovery and Design",Automation Anywhere,64,Low,High School,68,Yes,Beginner,4.6,72.0,63.0,62.0
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Berklee College of Music,92,Low,High School,68,Yes,Advanced,4.8,78.0,57.0,93.0
Introduction to Ableton Live,Berklee College of Music,79,Low,Postgraduate,74,No,Advanced,4.8,88.0,62.0,97.0
Introduction to Ableton Live,Berklee College of Music,82,Medium,High School,62,No,Advanced,4.8,79.0,79.0,94.0
The Art of Music Production,Berklee College of Music,70,Low,High School,66,Yes,Advanced,4.8,77.0,62.0,90.0
The Art of Music Production,Berklee College of Music,73,Medium,College,70,No,Advanced,4.8,55.0,78.0,95.0
The Art of Music Production,Berklee College of Music,94,Low,College,69,No,Advanced,4.8,56.0,61.0,95.0
The Art of Music Production,Berklee College of Music,65,Low,College,65,Yes,Advanced,4.8,61.0,59.0,97.0
Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,53,High,High School,64,No,Conversant,4.3,77.0,81.0,82.0
Developing Your Musicianship: Final Project,Berklee College of Music,65,Medium,College,66,No,Advanced,4.8,63.0,72.0,91.0
Guitar Performance Techniques,Berklee College of Music,68,Medium,College,63,No,Intermediate,4.1,58.0,71.0,75.0
Songwriting: Writing the Lyrics,Berklee College of Music,96,Medium,High School,66,Yes,Intermediate,4.8,80.0,72.0,73.0
A tecnologia da produï¿½ï¿½o musical,Berklee College of Music,87,Medium,College,71,No,Advanced,4.8,61.0,71.0,94.0
Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,92,Medium,High School,66,No,Conversant,4.3,75.0,70.0,84.0
Songwriting: Writing the Lyrics,Berklee College of Music,75,Medium,High School,69,No,Intermediate,4.8,76.0,73.0,73.0
Guitar Chord Voicings: Playing Up The Neck,Berklee College of Music,67,High,Postgraduate,66,Yes,Intermediate,4.9,89.0,83.0,68.0
Guitar for Beginners,Berklee College of Music,52,Medium,High School,71,No,Intermediate,4.7,73.0,75.0,72.0
Guitar for Beginners,Berklee College of Music,60,Low,High School,66,Yes,Intermediate,4.7,80.0,59.0,75.0
Electronic Music Performance Techniques,Berklee College of Music,95,Low,Postgraduate,62,Yes,Beginner,4.1,81.0,60.0,60.0
Arranging for Songwriters,Berklee College of Music,79,Medium,College,75,Yes,Beginner,4.4,63.0,80.0,59.0
Teaching Popular Music in the Classroom,Berklee College of Music,99,Low,High School,68,No,Beginner,4.7,74.0,60.0,62.0
Singing Popular Music,Berklee College of Music,99,Low,High School,67,Yes,Beginner,4.2,76.0,62.0,59.0
Pro Tools Basics,Berklee College of Music,81,Medium,High School,61,No,Intermediate,4.6,79.0,77.0,75.0
The Art of Vocal Production,Berklee College of Music,61,Medium,High School,61,No,Intermediate,4.6,79.0,78.0,72.0
The Technology of Music Production,Berklee College of Music,91,Low,High School,65,Yes,Intermediate,4.7,79.0,55.0,69.0
The Technology of Music Production,Berklee College of Music,59,Low,High School,68,No,Intermediate,4.7,74.0,63.0,68.0
Pro Tools Basics,Berklee College of Music,68,Medium,High School,70,Yes,Intermediate,4.6,76.0,71.0,69.0
Pro Tools Basics,Berklee College of Music,57,Medium,High School,63,No,Intermediate,4.6,72.0,74.0,67.0
Music Production Capstone,Berklee College of Music,68,Medium,College,63,Yes,Intermediate,4.8,57.0,75.0,71.0
Jazz Improvisation,Berklee College of Music,65,Low,High School,74,Yes,Advanced,4.8,71.0,57.0,88.0
Guitar Scales and Chord Progressions,Berklee College of Music,52,High,College,61,Yes,Advanced,4.7,61.0,86.0,95.0
Music Business Foundations,Berklee College of Music,95,Medium,College,82,Yes,Beginner,4.8,62.0,78.0,57.0
Music for Wellness,Berklee College of Music,71,Medium,High School,70,No,Beginner,4.6,74.0,79.0,58.0
Music Business Foundations,Berklee College of Music,50,Medium,College,64,Yes,Beginner,4.8,63.0,71.0,60.0
Creativity And Entrepreneurship,Berklee College of Music,81,Low,High School,63,Yes,Beginner,4.5,78.0,58.0,58.0
Creating Sounds for Electronic Music,Berklee College of Music,88,Low,High School,68,No,Advanced,4.7,70.0,57.0,94.0
Copyright Law in the Music Business,Berklee College of Music,58,Medium,College,65,Yes,Intermediate,4.7,58.0,74.0,73.0
Copyright Law in the Music Business,Berklee College of Music,62,Low,College,64,Yes,Intermediate,4.7,63.0,59.0,74.0
Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,95,Medium,High School,66,Yes,Beginner,4.8,77.0,71.0,62.0
World Design for Video Games,California Institute of the Arts,64,High,College,68,Yes,Advanced,4.3,58.0,87.0,95.0
Introduction to Game Design,California Institute of the Arts,87,Low,College,71,Yes,Advanced,4.7,61.0,55.0,91.0
Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,95,Low,High School,69,No,Intermediate,4.6,80.0,55.0,70.0
Fundamentals of Graphic Design,California Institute of the Arts,99,Low,High School,72,Yes,Conversant,4.7,75.0,62.0,85.0
UX Design Fundamentals,California Institute of the Arts,88,Low,College,67,Yes,Beginner,4.7,63.0,63.0,61.0
Introduction to Typography,California Institute of the Arts,85,Low,College,63,Yes,Beginner,4.8,62.0,56.0,59.0
Ideas from the History of Graphic Design,California Institute of the Arts,79,Medium,High School,72,No,Intermediate,4.6,75.0,78.0,71.0
Game Design Document: Define the Art & Concepts,California Institute of the Arts,74,Low,High School,68,No,Advanced,4.6,76.0,56.0,91.0
Web Design: Strategy and Information Architecture,California Institute of the Arts,91,Medium,Postgraduate,70,Yes,Advanced,4.8,90.0,79.0,95.0
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,56,Low,High School,64,No,Intermediate,4.7,72.0,62.0,74.0
Visual Elements of User Interface Design,California Institute of the Arts,59,Medium,High School,69,No,Beginner,4.5,70.0,72.0,57.0
Story and Narrative Development for Video Games,California Institute of the Arts,96,Medium,High School,69,No,Advanced,4.6,74.0,77.0,92.0
The Language of Design: Form and Meaning,California Institute of the Arts,84,Low,College,69,No,Beginner,4.6,61.0,62.0,59.0
Character Design for Video Games,California Institute of the Arts,71,High,College,72,No,Advanced,4.6,60.0,92.0,95.0
Introduction to Imagemaking,California Institute of the Arts,69,Low,High School,72,Yes,Intermediate,4.4,74.0,62.0,67.0
Web Design: Wireframes to Prototypes,California Institute of the Arts,54,Low,High School,62,Yes,Advanced,4.8,74.0,58.0,96.0
Brand New Brand,California Institute of the Arts,91,High,High School,68,No,Beginner,4.9,75.0,85.0,60.0
Getting started in cryo-EM,Caltech,67,High,High School,69,Yes,Not Calibrated,4.9,77.0,82.0,50.0
The Science of the Solar System,Caltech,95,Low,High School,68,Yes,Intermediate,4.8,70.0,56.0,67.0
The Evolving Universe,Caltech,75,Low,Postgraduate,64,No,Intermediate,4.6,87.0,59.0,70.0
Statistical Thermodynamics: Molecules to Machines,Carnegie Mellon University,95,Low,College,65,No,Advanced,3.6,55.0,62.0,95.0
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Case Western Reserve University,61,Low,High School,65,No,Advanced,4.4,78.0,55.0,93.0
Leading Positive Change through Appreciative Inquiry,Case Western Reserve University,65,Medium,Postgraduate,65,Yes,Beginner,4.8,87.0,75.0,60.0
Designing Your Personal Weight Loss Plan,Case Western Reserve University,57,Medium,High School,65,Yes,Intermediate,4,80.0,70.0,74.0
Women in Leadership: Inspiring Positive Change,Case Western Reserve University,84,Medium,Postgraduate,66,Yes,Conversant,4.7,83.0,76.0,81.0
Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,63,Low,Postgraduate,70,No,Conversant,4.7,89.0,63.0,81.0
"Be a Leader, Develop a Leader",Case Western Reserve University,93,Medium,High School,68,No,Advanced,4.7,75.0,75.0,91.0
Becoming a Sports Agent,Case Western Reserve University,54,Medium,College,65,Yes,Advanced,4.7,63.0,78.0,94.0
"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,82,High,Postgraduate,71,No,Advanced,4.7,84.0,91.0,93.0
Introduction to International Criminal Law,Case Western Reserve University,73,Low,High School,69,No,Intermediate,4.8,76.0,59.0,71.0
Take the Lead on Healthcare Quality Improvement,Case Western Reserve University,52,Medium,High School,62,Yes,Advanced,4.2,77.0,79.0,93.0
Promote the Ethical Use of Data-Driven Technologies,CertNexus,67,Medium,High School,69,No,Advanced,5,77.0,73.0,92.0
Check Point Jump Start: Network Security,Check Point Software Technologies Ltd.,61,Medium,High School,65,No,Beginner,4.9,78.0,76.0,60.0
Check Point Jump Start: SMB Network Security,Check Point Software Technologies Ltd.,69,Medium,College,67,Yes,Intermediate,Not Calibrated,57.0,73.0,69.0
Foundations for Big Data Analysis with SQL,Cloudera,58,Medium,High School,62,No,Intermediate,4.8,73.0,79.0,67.0
Analyzing Big Data with SQL,Cloudera,69,Low,High School,61,Yes,Advanced,4.9,75.0,55.0,94.0
Poverty & Population: How Demographics Shape Policy,Columbia University,51,Low,College,64,No,Advanced,4.9,59.0,60.0,89.0
Construction Finance,Columbia University,53,Low,College,65,No,Beginner,4.7,58.0,60.0,62.0
Construction Project Management,Columbia University,86,High,Postgraduate,68,No,Beginner,4.8,81.0,83.0,59.0
Construction Cost Estimating and Cost Control,Columbia University,56,Medium,College,64,No,Beginner,4.7,59.0,79.0,58.0
Financial Engineering and Risk Management Part I,Columbia University,56,Low,High School,66,Yes,Intermediate,4.4,71.0,57.0,74.0
"Social Services for Families, Seniors and Those with Disabilities",Columbia University,63,Medium,College,61,No,Intermediate,4.8,58.0,76.0,74.0
US Social Services Compared,Columbia University,59,High,High School,68,Yes,Advanced,4.6,78.0,83.0,97.0
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",Columbia University,66,High,Postgraduate,65,Yes,Beginner,4.7,91.0,93.0,57.0
The Age of Sustainable Development,Columbia University,67,Medium,Postgraduate,65,No,Not Calibrated,4.8,92.0,74.0,52.0
Economics of Money and Banking,Columbia University,81,Medium,High School,68,Yes,Intermediate,4.8,70.0,77.0,71.0
Causal Inference 2,Columbia University,62,High,High School,65,No,Intermediate,3.6,72.0,87.0,74.0
Construction Scheduling,Columbia University,60,Low,College,69,No,Beginner,4.7,55.0,57.0,58.0
Financial Engineering and Risk Management Part II,Columbia University,85,Low,High School,67,Yes,Advanced,4.7,72.0,58.0,94.0
Causal Inference,Columbia University,76,Medium,College,71,Yes,Intermediate,2.9,55.0,75.0,73.0
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Clinical Perspective)",Columbia University,84,Medium,College,68,Yes,Beginner,4.6,56.0,76.0,60.0
MOS Transistors,Columbia University,84,Medium,Postgraduate,70,No,Advanced,4.6,89.0,73.0,89.0
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,70,Medium,High School,67,Yes,Beginner,4.5,72.0,72.0,59.0
"Health, Housing, and Educational Services",Columbia University,90,Low,High School,86,Yes,Intermediate,4.9,73.0,55.0,71.0
US Social Services: Where did they come from?,Columbia University,51,Low,High School,63,No,Intermediate,4.9,76.0,55.0,69.0
Foundations of Teaching for Learning: Introduction,Commonwealth Education Trust,71,Low,High School,68,Yes,Intermediate,4.5,71.0,60.0,72.0
Foundations of Teaching for Learning: Developing Relationships,Commonwealth Education Trust,69,Low,High School,64,No,Intermediate,4.8,78.0,56.0,71.0
Writing for Young Readers: Opening the Treasure Chest,Commonwealth Education Trust,81,Low,High School,72,No,Advanced,4.6,75.0,59.0,92.0
Foundations of Teaching for Learning Capstone: The Reflective Practitioner,Commonwealth Education Trust,78,Medium,Postgraduate,75,Yes,Not Calibrated,4,87.0,80.0,51.0
Foundations of Teaching for Learning: Being a Teacher,Commonwealth Education Trust,82,Low,High School,65,No,Beginner,4.6,78.0,57.0,57.0
Foundations of Teaching for Learning: Curriculum,Commonwealth Education Trust,72,Low,High School,67,Yes,Intermediate,4.5,70.0,56.0,67.0
Foundations of Teaching for Learning: Learners and Learning,Commonwealth Education Trust,91,Medium,High School,70,No,Intermediate,4.5,78.0,70.0,74.0
Foundations of Teaching for Learning: Planning for Teaching and Learning,Commonwealth Education Trust,89,Medium,High School,64,Yes,Intermediate,4.8,70.0,73.0,75.0
Foundations of Teaching for Learning: Being a Professional,Commonwealth Education Trust,83,Low,College,67,Yes,Intermediate,4.7,61.0,63.0,75.0
Foundations of Teaching for Learning: Introduction to Student Assessment,Commonwealth Education Trust,52,Low,College,68,Yes,Intermediate,4.7,61.0,55.0,69.0
Blockchain: Foundations and Use Cases,ConsenSys Academy,95,High,High School,69,Yes,Intermediate,4.6,75.0,86.0,74.0
Social Business Model and Planning for Social Innovation,Copenhagen Business School,66,High,High School,73,No,Advanced,4.6,76.0,86.0,97.0
Innovation Strategy: Developing Your Fintech strategy,Copenhagen Business School,93,Low,High School,75,Yes,Advanced,4.5,78.0,58.0,96.0
Digital Transformation of Financial Services - Capstone Project,Copenhagen Business School,67,Low,Postgraduate,72,No,Advanced,4.4,83.0,60.0,90.0
FinTech and the Transformation in Financial Services,Copenhagen Business School,62,Medium,High School,63,Yes,Intermediate,4.1,80.0,72.0,73.0
Identifying Social Entrepreneurship Opportunities,Copenhagen Business School,61,Medium,High School,68,Yes,Advanced,4.7,76.0,76.0,90.0
Strategic Management,Copenhagen Business School,71,Low,Postgraduate,63,No,Beginner,4.7,87.0,62.0,58.0
Sustainable Fashion,Copenhagen Business School,76,High,High School,72,No,Beginner,4.8,76.0,85.0,61.0
Sustainable Vikings: Sustainability & Corporate Social Responsibility in Scandinavia,Copenhagen Business School,94,High,Postgraduate,66,Yes,Intermediate,4.8,91.0,87.0,70.0
The Neuromarketing Toolbox,Copenhagen Business School,98,Medium,College,67,No,Beginner,4.8,58.0,71.0,57.0
Unleashing the Impact of your Social Enterprise,Copenhagen Business School,89,Medium,High School,99,Yes,Advanced,4.5,79.0,77.0,94.0
Strategy Implementation,Copenhagen Business School,87,Medium,Postgraduate,66,No,Intermediate,4.6,85.0,79.0,75.0
Strategy Formulation,Copenhagen Business School,52,Low,Postgraduate,64,Yes,Beginner,4.5,85.0,59.0,58.0
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,76,Medium,College,62,Yes,Beginner,4.7,59.0,76.0,61.0
Digital Competition in Financial Services,Copenhagen Business School,70,Medium,College,68,No,Intermediate,4.5,59.0,71.0,71.0
Strategic Management - Capstone Project,Copenhagen Business School,76,Low,High School,66,No,Advanced,4.6,70.0,56.0,94.0
Leadership in 21st Century Organizations,Copenhagen Business School,64,High,High School,70,Yes,Beginner,4.7,75.0,92.0,60.0
1E Test: How Computers Work,Coursera,89,Medium,High School,71,Yes,Advanced,Not Calibrated,70.0,80.0,89.0
Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,59,Medium,College,61,No,Beginner,4.8,62.0,76.0,59.0
Retrieve Data using Single-Table SQL Queries,Coursera Project Network,65,Medium,College,70,Yes,Beginner,4.6,56.0,76.0,58.0
Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,89,Medium,Postgraduate,71,Yes,Beginner,4.7,85.0,70.0,61.0
Agile Projects: Developing Tasks with Taiga,Coursera Project Network,88,Medium,College,68,No,Beginner,4,55.0,77.0,58.0
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,74,Low,Postgraduate,65,Yes,Beginner,4.5,90.0,63.0,60.0
How to Create Text Effects in GIMP,Coursera Project Network,89,Medium,College,66,No,Beginner,4.7,63.0,71.0,58.0
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,94,High,College,71,Yes,Advanced,5,57.0,82.0,97.0
Postman - Intro to APIs (without coding),Coursera Project Network,84,Low,High School,63,Yes,Beginner,4.4,74.0,55.0,58.0
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,56,High,College,67,No,Beginner,3.7,63.0,86.0,60.0
Analyzing Market Attractiveness Using Creately,Coursera Project Network,72,Low,High School,68,Yes,Beginner,4.7,73.0,61.0,59.0
Change Leadership: Developing Force Field Analysis in Miro,Coursera Project Network,96,High,Postgraduate,70,No,Advanced,5,88.0,85.0,95.0
